# Quantities related to the AGNs activated at the output redshift zout =  0.00000
# (1)igal (2)flag_burst[1:burst,0:normal] (3)flag_di[1:DI,0:normal] (4)flag_merger[1:merger,0:normal] (5)morphology[1:S,2:S0,3:E] (6)flag_c (7,8)Mstard,Mstarb[Msun] (9,10)Mcoold,Mcoolb[Msun] (11)Mbh[Msun] (12,13)MZcd,MZcb[Msun] (14)Mhalo[Msun] (15,16)Vbulge,Vdisk[km/s] (17,18)rbulge,rdisk[kpc/h] (19,20)mag,mag_d (21,22) SFR, averaged SFR in past 10 Myr [Msun/yr] (23)Lbol[10^12 Lsun] at output time (24)Lbol[10^12 Lsun] of peak (25)Delta Macc [M_sun] (26)Mcold[Msun] at tstart (27)MZcold[Msun] at tstart (28)t_ad[Gyr] (29)t_gal[Gyr] (30)dMbhrem[10^14 Msun] (31,32)merging mass ratio (av/max) (33-36)Lx(2-10keV)[erg/s],Lbol[erg/s],mdot,lambda_edd
# BC03 SSP is used
# starburst ---  IMF: Chabrier from 0.1 to 100 Msun
# quiescent ---  IMF: Chabrier from 0.1 to 100 Msun
      3645 0 0 0 3 0  0.17073E+12  0.11043E+12  0.29608E+11  0.10000E-05  0.46424E+09  0.22036E+10  0.10000E-05  0.54040E+13   181.12       270.22       11.173       96.909      -22.128      -21.004       18.706       17.541      0.58063E-02  0.22447E-01  0.30528E+08  0.17485E+07   46454.       1.9528      0.61035E-01  0.25501E-06  0.39007E-02  0.39007E-02  0.18473E+43  0.22215E+44  0.38872E-02  0.38857E-03
      3690 0 0 0 3 0  0.14205E+12  0.23703E+11  0.36281E+11  0.10000E-05  0.12984E+09  0.11416E+10  0.10000E-05  0.36709E+13   114.67       200.82       5.7746       122.76      -21.399      -20.204       10.043       9.7105      0.55140E-03  0.23207E-02  0.79515E+07   12803.       683.82       4.9837      0.51653E-01  0.79114E-07  0.86821E-03  0.53233E-03  0.24375E+42  0.21097E+43  0.13169E-02  0.13167E-03
      3801 0 0 0 3 0  0.78965E+11  0.97337E+10  0.14027E+11  0.10000E-05  0.54743E+08  0.82589E+09  0.10000E-05  0.13554E+13   90.753       170.48       3.9789       65.897      -20.793      -18.840       5.2071       4.9400      0.49236E-03  0.12112E-02  0.37932E+07   8865.9       376.32       4.5598      0.38424E-01  0.36969E-07  0.76653E-03  0.56978E-03  0.22045E+42  0.18838E+43  0.28258E-02  0.28250E-03
      4025 0 0 0 3 0  0.89888E+11  0.48430E+11  0.89062E+08  0.10000E-05  0.31462E+09  0.25239E+08  0.10000E-05  0.14340E+13   127.91       226.33       9.3688       40.945      -19.876      -19.707      0.10209      0.90585E-01  0.27234E-03  0.12881E-01  0.20809E+08   10975.       373.16       2.3184      0.75505E-01  0.18973E-06  0.66975E-03  0.66975E-03  0.12971E+42  0.10420E+43  0.26461E-03  0.26461E-04
      4450 0 0 0 1 1  0.45520E+09  0.70681E+12  0.10000E-05  0.10000E-05  0.33017E+10  0.10000E-05  0.10000E-05  0.16297E+15   389.81       303.67       71.117      0.11341      -21.614      -21.614       0.0000      0.38558E-74  0.47132E-01  0.14062      0.17780E+09  0.28304E+10  0.44867E+09   1.7005      0.25545      0.15082E-05  0.60058      0.60058      0.10229E+44  0.18033E+45  0.44426E-02  0.44406E-03
      5206 0 0 0 1 1  0.53863E+10  0.65963E+12  0.10000E-05  0.10000E-05  0.29136E+10  0.10000E-05  0.10000E-05  0.11214E+15   244.58       157.67       95.899       1.0251      -21.606      -21.606       0.0000      0.19569E-18  0.79899E-02  0.10475E-01  0.97174E+08  0.31412E+07  0.12341E+07   13.263      0.54838      0.95705E-06  0.20988      0.20988      0.24102E+43  0.30569E+44  0.85963E-03  0.85955E-04
      5367 0 0 0 1 0  0.28438E+11  0.25947E+12   61307.      0.10000E-05  0.13218E+10   37541.      0.10000E-05  0.75846E+13   226.97       246.41       15.035       13.847      -20.815      -20.815      0.33016E-03  0.21767E-03  0.74348E-02  0.82491E-02  0.52852E+08  0.48743E+08  0.26149E+07   9.3282      0.87296E-01  0.49596E-06  0.29885E-01  0.29885E-01  0.22702E+43  0.28446E+44  0.17815E-02  0.17812E-03
      5741 0 0 0 3 0  0.45709E+11  0.23815E+11  0.15273E+09  0.10000E-05  0.36420E+09  0.35727E+08  0.10000E-05  0.17496E+13   163.62       213.03       2.9446       46.217      -19.311      -19.217      0.13476      0.12226      0.25043E-03  0.18947E-01  0.24801E+08   3918.4       244.16       1.9038      0.16421E-01  0.20663E-06  0.68109E-03  0.68109E-03  0.12024E+42  0.95814E+42  0.21009E-03  0.21008E-04
      5859 0 0 0 1 1  0.10000E-05  0.82333E+12  0.10000E-05  0.10000E-05  0.36212E+10  0.10000E-05  0.10000E-05  0.10817E+15   340.30       317.52       41.140      0.10000E-19  -21.798      -21.798       0.0000       0.0000      0.14212E-01  0.23759E-01  0.13262E+09   2242.5       1809.2       8.0725      0.16930      0.12955E-05   0.0000       0.0000      0.38757E+43  0.54374E+44  0.12264E-02  0.12263E-03
      6090 1 0 1 1 0  0.93812E+10  0.21538E+12  0.16483E-01  0.10000E-05  0.13344E+10  0.16483E-01  0.10000E-05  0.15428E+14   290.52       360.16       7.6369       10.512      -20.498      -20.498      0.67547E-07  0.51313E-07  0.85494E-02  0.88865E-02  0.53953E+08   9645.9       56.987       8.8665      0.36133E-01  0.51907E-06  0.11138E-02  0.11138E-02  0.25493E+43  0.32710E+44  0.20352E-02  0.20348E-03
      6413 0 0 0 1 1  0.53404E+08  0.98917E+12  0.10000E-05  0.10000E-05  0.40524E+10  0.10000E-05  0.10000E-05  0.49211E+14   320.15       253.47       46.123      0.19236E-01  -22.075      -22.075       0.0000      0.24361-267  0.45237E-01  0.49929E-01  0.16647E+09  0.13448E+09  0.27264E+08   4.7627      0.20175      0.16299E-05  0.79346E-01  0.42124E-01  0.98988E+43  0.17308E+45  0.35405E-02  0.35393E-03
      6554 0 0 0 3 0  0.35719E+11  0.59258E+10  0.93005E+10  0.10000E-05  0.50425E+08  0.45259E+09  0.10000E-05  0.80933E+12   68.630       138.38       3.8293       70.088      -19.931      -18.741       1.9754       1.8923      0.53174E-03  0.76066E-03  0.32731E+07  0.20172E+07   6604.5       6.2719      0.43422E-01  0.30054E-07  0.17982E-02  0.17982E-02  0.23603E+42  0.20344E+43  0.33730E-02  0.33719E-03
      6755 0 0 0 3 0  0.77515E+11  0.49435E+11  0.66255E+09  0.10000E-05  0.30939E+09  0.12746E+09  0.10000E-05  0.17603E+13   112.90       225.85       11.867       54.896      -19.986      -19.559      0.54653      0.50024      0.21037E-02  0.31402E-02  0.15656E+08  0.19072E+09  0.12506E+06   7.2293      0.11746      0.14438E-06  0.15559E-02  0.15559E-02  0.78243E+42  0.80489E+43  0.21489E-02  0.21484E-03
      6795 0 0 0 1 0  0.56925E+11  0.11550E+12   2.3114      0.10000E-05  0.49626E+09   2.3114      0.10000E-05  0.47227E+13   183.98       244.83       10.417       12.897      -20.052      -20.052      0.13598E-07  0.87141E-08  0.22306E-02  0.40368E-02  0.22968E+08   69013.       194.69       8.2880      0.69265E-01  0.21886E-06  0.31766E-03  0.31766E-03  0.82264E+42  0.85343E+43  0.14083E-02  0.14081E-03
      7144 0 0 0 3 0  0.58435E+11  0.28305E+11  0.26277E+10  0.10000E-05  0.31543E+09  0.30535E+09  0.10000E-05  0.13593E+13   133.33       192.77       5.4408       57.278      -20.090      -19.340       1.4837       1.3847      0.12749E-02  0.10756E-01  0.20099E+08  0.42393E+06   3951.8       2.7127      0.34955E-01  0.17834E-06  0.19712E-02  0.19712E-02  0.50817E+42  0.48780E+43  0.12433E-02  0.12432E-03
      7184 0 0 0 3 0  0.86742E+11  0.12696E+11  0.75748E+10  0.10000E-05  0.67069E+08  0.64476E+09  0.10000E-05  0.15588E+13   108.52       193.98       3.6332       61.030      -20.701      -19.237       4.0549       3.7986      0.26693E-03  0.10761E-01  0.66410E+07   13393.       531.64      0.88184      0.29543E-01  0.42598E-07  0.64892E-03  0.64892E-03  0.12738E+42  0.10213E+43  0.12180E-02  0.12179E-03
      7277 0 0 0 3 0  0.53149E+11  0.15628E+11  0.63037E+09  0.10000E-05  0.77624E+08  0.10519E+09  0.10000E-05  0.12339E+13   96.053       198.14       5.3177       47.573      -19.530      -18.317      0.46150      0.42341      0.78896E-03  0.13631E-02  0.49796E+07   652.09       60.865       5.3141      0.54526E-01  0.44582E-07  0.36892E-03  0.36892E-03  0.33431E+42  0.30186E+43  0.32232E-02  0.32221E-03
      7888 0 0 0 3 0  0.94722E+11  0.10220E+12  0.12077E+11  0.10000E-05  0.13568E+10  0.98296E+09  0.10000E-05  0.34662E+13   175.21       268.85       10.470       83.305      -21.479      -20.220       8.8875       8.2507      0.19205E-01  0.31889E-01  0.70035E+08   78618.       1999.5       3.1767      0.62849E-01  0.58640E-06  0.17050E-02  0.17050E-02  0.49567E+43  0.73478E+44  0.44613E-02  0.44593E-03
      8188 1 0 1 1 0  0.58238E+11  0.18052E+12  0.15012E+07  0.10000E-05  0.14189E+10  0.71584E+06  0.10000E-05  0.10654E+14   251.42       313.51       8.8444       31.587      -20.543      -20.538      0.44981E-02  0.35000E-02  0.56467E-02  0.57772E-02  0.51817E+08   173.92       2.3271       13.105      0.43622E-01  0.50646E-06  0.14964E-02  0.14964E-02  0.18047E+43  0.21604E+44  0.12599E-02  0.12597E-03
      8617 0 0 0 1 1  0.75525E+10  0.53992E+12  0.74315E+08  0.10000E-05  0.22740E+10  0.23976E+08  0.10000E-05  0.23906E+14   301.30       443.51       21.396       35.732      -21.683      -21.671      0.36255      0.25306      0.15979E-01   3.0234      0.26903E+09  0.46540E+10  0.63371E+09  0.68890E-01  0.98782E-01  0.27676E-06  0.63131      0.63131      0.42659E+43  0.61135E+44  0.21467E-02  0.21462E-03
